rank,words,coca_speech
350,war,n
351,history,n
352,party,n
353,within,i
354,grow,v
355,result,n
356,open,v
357,change,n
358,morning,n
359,walk,v
360,reason,n
361,low,j
362,win,v
363,research,n
364,girl,n
365,guy,n
366,early,j
367,food,n
368,before,c
369,moment,n
370,himself,p
371,air,n
372,teacher,n
373,force,n
374,offer,v
375,enough,r
376,both,r
377,education,n
378,across,i
379,although,c
380,remember,v
381,foot,n
382,second,m
383,boy,n
384,maybe,r
385,toward,i
386,able,j
387,age,n
388,off,i
389,policy,n
390,everything,p
391,love,v
392,process,n
393,music,n
394,including,i
395,consider,v
396,appear,v
397,actually,r
398,buy,v
399,probably,r
400,human,j
401,wait,v
402,serve,v
403,market,n
404,die,v
405,send,v
406,expect,v
407,home,r
408,sense,n
409,build,v
410,stay,v
411,fall,v
412,oh,u
413,nation,n
414,plan,n
415,cut,v
416,college,n
417,interest,n
418,death,n
419,course,r
420,someone,p
421,experience,n
422,behind,i
423,reach,v
424,local,j
425,kill,v
426,six,m
427,remain,v
428,effect,n
429,use,n
430,yeah,u
431,suggest,v
432,class,n
433,control,n
434,raise,v
435,care,n
436,perhaps,r
437,little,r
438,late,j
439,hard,j
440,field,n
441,else,r
442,pass,v
443,former,d
444,sell,v
445,major,j
446,sometimes,r
447,require,v
448,along,i
449,development,n
450,themselves,p
451,report,v
452,role,n
453,better,j
454,economic,j
455,effort,n
456,up,i
457,decide,v
458,rate,n
459,strong,j
460,possible,j
461,heart,n
462,drug,n
463,show,n
464,leader,n
465,light,n
466,voice,n
467,wife,n
468,whole,j
469,police,n
470,mind,n
471,finally,r
472,pull,v
473,return,v
474,free,j
475,military,j
476,price,n
477,report,n
478,less,r
479,according,i
480,decision,n
481,explain,v
482,son,n
483,hope,v
484,even,c
485,develop,v
486,view,n
487,relationship,n
488,carry,v
489,town,n
490,road,n
491,drive,v
492,arm,n
493,TRUE,j
494,federal,j
495,break,v
496,better,r
497,difference,n
498,thank,v
499,receive,v
500,value,n
501,international,j
502,building,n
503,action,n
504,full,j
505,model,n
506,join,v
507,season,n
508,society,n
509,because,i
510,tax,n
511,director,n
512,early,r
513,position,n
514,player,n
515,agree,v
516,especially,r
517,record,n
518,pick,v
519,wear,v
520,paper,n
521,special,j
522,space,n
523,ground,n
524,form,n
525,support,v
526,event,n
527,official,n
528,whose,d
529,matter,n
530,everyone,p
531,center,n
532,couple,n
533,site,n
534,end,v
535,project,n
536,hit,v
537,base,v
538,activity,n
539,star,n
540,table,n
541,need,n
542,court,n
543,produce,v
544,eat,v
545,American,n
546,teach,v
547,oil,n
548,half,d
549,situation,n
550,easy,j
551,cost,n
552,industry,n
553,figure,n
554,face,v
555,street,n
556,image,n
557,itself,p
558,phone,n
559,either,r
560,data,n
561,cover,v
562,quite,r
563,picture,n
564,clear,j
565,practice,n
566,piece,n
567,land,n
568,recent,j
569,describe,v
570,product,n
571,doctor,n
572,wall,n
573,patient,n
574,worker,n
575,news,n
576,test,n
577,movie,n
578,certain,j
579,north,n
580,love,n
581,personal,j
582,open,j
583,support,n
584,simply,r
585,third,m
586,technology,n
587,catch,v
588,step,n
589,baby,n
590,computer,n
591,type,n
592,attention,n
593,draw,v
594,film,n
595,Republican,n
596,tree,n
597,source,n
598,red,j
599,nearly,r
600,organization,n
601,choose,v
602,cause,v
603,hair,n
604,look,n
605,point,v
606,century,n
607,evidence,n
608,window,n
609,difficult,j
610,listen,v
611,soon,r
612,culture,n
613,billion,m
614,chance,n
615,brother,n
616,energy,n
617,period,n
618,course,n
619,summer,n
620,less,d
621,realize,v
622,hundred,m
623,available,j
624,plant,n
625,likely,j
626,opportunity,n
627,term,n
628,short,j
629,letter,n
630,condition,n
631,choice,n
632,place,v
633,single,j
634,rule,n
635,daughter,n
636,administration,n
637,south,n
638,husband,n
639,Congress,n
640,floor,n
641,campaign,n
642,material,n
643,population,n
644,well,i
645,call,n
646,economy,n
647,medical,j
648,hospital,n
649,church,n
650,close,v
651,thousand,m
652,risk,n
653,current,j
654,fire,n
655,future,n
656,wrong,j
657,involve,v
658,defense,n
659,anyone,p
660,increase,v
661,security,n
662,bank,n
663,myself,p
664,certainly,r
665,west,n
666,sport,n
667,board,n
668,seek,v
669,per,i
670,subject,n
671,officer,n
672,private,j
673,rest,n
674,behavior,n
675,deal,v
676,performance,n
677,fight,v
678,throw,v
679,top,n
680,quickly,r
681,past,j
682,goal,n
683,second,n
684,bed,n
685,order,n
686,author,n
687,fill,v
688,represent,v
689,focus,v
690,foreign,j
691,drop,v
692,plan,v
693,blood,n
694,upon,i
695,agency,n
696,push,v
697,nature,n
698,color,n
699,no,r
700,recently,r
701,store,n
702,reduce,v
703,sound,n
704,note,v
705,fine,j
706,before,r
707,near,i
708,movement,n
709,page,n
710,enter,v
711,share,v
712,than,i
713,common,j
714,poor,j
715,other,p
716,natural,j
717,race,n
718,concern,n
719,series,n
720,significant,j
721,similar,j
722,hot,j
723,language,n
724,each,p
725,usually,r
726,response,n
727,dead,j
728,rise,v
729,animal,n
730,factor,n
731,decade,n
732,article,n
733,shoot,v
734,east,n
735,save,v
736,seven,m
737,artist,n
738,away,i
739,scene,n
740,stock,n
741,career,n
742,despite,i
743,central,j
744,eight,m
745,thus,r
746,treatment,n
747,beyond,i
748,happy,j
749,exactly,r
750,protect,v
751,approach,n
752,lie,v
753,size,n
754,dog,n
755,fund,n
756,serious,j
757,occur,v
758,media,n
759,ready,j
760,sign,n
761,thought,n
762,list,n
763,individual,n
764,simple,j
765,quality,n
766,pressure,n
767,accept,v
768,answer,n
769,hard,r
770,resource,n
771,identify,v
772,left,j
773,meeting,n
774,determine,v
775,prepare,v
776,disease,n
777,whatever,d
778,success,n
779,argue,v
780,cup,n
781,particularly,r
782,amount,n
783,ability,n
784,staff,n
785,recognize,v
786,indicate,v
787,character,n
788,growth,n
789,loss,n
790,degree,n
791,wonder,v
792,attack,n
793,herself,p
794,region,n
795,television,n
796,box,n
797,TV,n
798,training,n
799,pretty,r
800,trade,n
801,deal,n
802,election,n
803,everybody,p
804,physical,j
805,lay,v
806,general,j
807,feeling,n
808,standard,n
809,bill,n
810,message,n
811,fail,v
812,outside,i
813,arrive,v
814,analysis,n
815,benefit,n
816,name,v
817,sex,n
818,forward,r
819,lawyer,n
820,present,v
821,section,n
822,environmental,j
823,glass,n
824,answer,v
825,skill,n
826,sister,n
827,PM,r
828,professor,n
829,operation,n
830,financial,j
831,crime,n
832,stage,n
833,ok,r
834,compare,v
835,authority,n
836,miss,v
837,design,n
838,sort,n
839,one,n
840,act,v
841,ten,m
842,knowledge,n
843,gun,n
844,station,n
845,blue,j
846,state,v
847,strategy,n
848,little,d
849,clearly,r
850,discuss,v
851,indeed,r
852,force,v
853,truth,n
854,song,n
855,example,n
856,democratic,j
857,check,v
858,environment,n
859,leg,n
860,dark,j
861,public,n
862,various,j
863,rather,r
864,laugh,v
865,guess,v
866,executive,n
867,set,n
868,study,v
869,prove,v
870,hang,v
871,entire,j
872,rock,n
873,design,v
874,enough,d
875,forget,v
876,since,i
877,claim,v
878,note,n
879,remove,v
880,manager,n
881,help,n
882,close,j
883,sound,v
884,enjoy,v
885,network,n
886,legal,j
887,religious,j
888,cold,j
889,form,v
890,final,j
891,main,j
892,science,n
893,green,j
894,memory,n
895,card,n
896,above,i
897,seat,n
898,cell,n
899,establish,v
900,nice,j
901,trial,n
902,expert,n
903,that,r
904,spring,n
905,firm,n
906,Democrat,n
907,radio,n
908,visit,v
909,management,n
910,care,v
911,avoid,v
912,imagine,v
913,tonight,r
914,huge,j
915,ball,n
916,no,u
917,close,r
918,finish,v
919,yourself,p
920,talk,n
921,theory,n
922,impact,n
923,respond,v
924,statement,n
925,maintain,v
926,charge,n
927,popular,j
928,traditional,j
929,onto,i
930,reveal,v
931,direction,n
932,weapon,n
933,employee,n
934,cultural,j
935,contain,v
936,peace,n
937,head,v
938,control,v
939,base,n
940,pain,n
941,apply,v
942,play,n
943,measure,n
944,wide,j
945,shake,v
946,fly,v
947,interview,n
948,manage,v
949,chair,n
950,fish,n
951,particular,j
952,camera,n
953,structure,n
954,politics,n
955,perform,v
956,bit,n
957,weight,n
958,suddenly,r
959,discover,v
960,candidate,n
961,top,j
962,production,n
963,treat,v
964,trip,n
965,evening,n
966,affect,v
967,inside,i
968,conference,n
969,unit,n
970,best,r
971,style,n
972,adult,n
973,worry,v
974,range,n
975,mention,v
976,rather,i
977,far,j
978,deep,j
979,past,n
980,edge,n
981,individual,j
982,specific,j
983,writer,n
984,trouble,n
985,necessary,j
986,throughout,i
987,challenge,n
988,fear,n
989,shoulder,n
990,institution,n
991,middle,j
992,sea,n
993,dream,n
994,bar,n
995,beautiful,j
996,property,n
997,instead,r
998,improve,v
999,stuff,n
1000,detail,n
