rank,speech,words
286,n,member
287,v,pay
288,n,law
289,v,meet
290,n,car
291,n,city
292,r,almost
293,v,include
294,v,continue
295,v,set
296,r,later
297,n,community
298,r,much
299,n,name
300,m,five
301,r,once
302,j,white
303,r,least
304,n,president
305,v,learn
306,j,real
307,v,change
308,n,team
309,n,minute
310,j,best
311,d,several
312,n,idea
313,n,kid
314,n,body
315,n,information
316,p,nothing
317,r,ago
318,j,right
319,v,lead
320,j,social
321,v,understand
322,c,whether
323,n,back
324,v,watch
325,r,together
326,v,follow
327,r,around
328,n,parent
329,j,only
330,v,stop
331,n,face
332,p,anything
333,v,create
334,j,public
335,r,already
336,v,speak
337,n,others
338,v,read
339,n,level
340,v,allow
341,v,add
342,n,office
343,v,spend
344,n,door
345,n,health
346,n,person
347,n,art
348,j,sure
349,i,such
350,n,war
351,n,history
352,n,party
353,i,within
354,v,grow
355,n,result
356,v,open
357,n,change
358,n,morning
359,v,walk
360,n,reason
361,j,low
362,v,win
363,n,research
364,n,girl
365,n,guy
366,j,early
367,n,food
368,c,before
369,n,moment
370,p,himself
371,n,air
372,n,teacher
373,n,force
374,v,offer
375,r,enough
376,r,both
377,n,education
378,i,across
379,c,although
380,v,remember
381,n,foot
382,m,second
383,n,boy
384,r,maybe
385,i,toward
386,j,able
387,n,age
388,i,off
389,n,policy
390,p,everything
391,v,love
392,n,process
393,n,music
394,i,including
395,v,consider
396,v,appear
397,r,actually
398,v,buy
399,r,probably
400,j,human
401,v,wait
402,v,serve
403,n,market
404,v,die
405,v,send
406,v,expect
407,r,home
408,n,sense
409,v,build
410,v,stay
411,v,fall
412,u,oh
413,n,nation
414,n,plan
415,v,cut
416,n,college
417,n,interest
418,n,death
419,r,course
420,p,someone
421,n,experience
422,i,behind
423,v,reach
424,j,local
425,v,kill
426,m,six
427,v,remain
428,n,effect
429,n,use
430,u,yeah
431,v,suggest
432,n,class
433,n,control
434,v,raise
435,n,care
436,r,perhaps
437,r,little
438,j,late
439,j,hard
440,n,field
441,r,else
442,v,pass
443,d,former
444,v,sell
445,j,major
446,r,sometimes
447,v,require
448,i,along
449,n,development
450,p,themselves
451,v,report
452,n,role
453,j,better
454,j,economic
455,n,effort
456,i,up
457,v,decide
458,n,rate
459,j,strong
460,j,possible
461,n,heart
462,n,drug
463,n,show
464,n,leader
465,n,light
466,n,voice
467,n,wife
468,j,whole
469,n,police
470,n,mind
471,r,finally
472,v,pull
473,v,return
474,j,free
475,j,military
476,n,price
477,n,report
478,r,less
479,i,according
480,n,decision
481,v,explain
482,n,son
483,v,hope
484,c,even
485,v,develop
486,n,view
487,n,relationship
488,v,carry
489,n,town
490,n,road
491,v,drive
492,n,arm
493,j,true
494,j,federal
